neighbourhood,Average,maximum,minimum,Entire,Private,Shared,reviews
东城区,998.3,99999,48,132,303,36,1.25
丰台区 / Fengtai,689,65466,13,1261,377,66,0.68
大兴区 / Daxing,615,30000,64,805,216,26,0.44
密云县 / Miyun,1181.5,70000,65,1305,598,17,0.39
平谷区 / Pinggu,1831,15000,64,152,96,2,0.32
延庆县 / Yanqing,1715.6,29249,84,1283,878,6,0.31
怀柔区 / Huairou,1900.6,23744,93,883,899,4,0.35
房山区,939.7,15000,66,614,328,9,0.44
昌平区,1262,66666,66,689,584,43,0.48
朝阳区 / Chaoyang,679.5,69000,24,4617,2612,539,0.72
海淀区,507722.6,999999999,65,1026,757,189,0.54
石景山区,560.4,9999,75,239,93,7,0.63
西城区,849.7,26534,128,205,186,3,0.80
通州区 / Tongzhou,546.5,33658,1,965,408,39,0.46
门头沟区 / Mentougou,1353.9,18174,76,203,92,4,0.36
顺义区 / Shunyi,865,60000,66,925,288,17,0.42
